,Wallet,NumberOfTokensAdopted,EarlyCount,LaggardCount,EarlyPercentage,LaggardPercentage,Whale,Non-WhaleEarlyAdopters,Non-WhaleLaggardAdopters,NumberOfWhalesInteractedWith
149,0x000000000000000000000000e1b6e59d095f084b2718549e9d19b227d60ce5c7,15,4,11,26.666666666666668,73.33333333333333,False,False,True,9.0
150,0x000000000000000000000000b5a0a80269e6aa396bc9c8692f3e676589f3b9cd,92,12,80,13.043478260869565,86.95652173913044,False,False,True,39.0
151,0x000000000000000000000000d288cac35df9cf288f847ff12faf1f327bc68019,31,5,26,16.129032258064516,83.87096774193549,False,False,True,20.0
152,0x000000000000000000000000354132476c03bfd367140d73a55523ac39788f95,33,4,29,12.12121212121212,87.87878787878788,False,False,True,13.0
153,0x0000000000000000000000008577e657288f0d35b6f33de9e34ccf4b9b9e387a,16,3,13,18.75,81.25,False,False,True,10.0
154,0x00000000000000000000000000b8a3bd127c64baf8e3156e843fe048fa18cf38,62,23,39,37.096774193548384,62.903225806451616,False,False,True,32.0
155,0x000000000000000000000000a91be0034c13525f6f22f5c7ca1d1ec9925396a6,50,13,37,26.0,74.0,False,False,True,32.0
156,0x000000000000000000000000f8250977982f2ca8116fb41394c704508dc0340f,4,1,3,25.0,75.0,False,False,True,4.0
157,0x0000000000000000000000002edc80c8e1f13884b93a40e4f962375f48e27d8c,7,3,4,42.85714285714285,57.142857142857146,False,False,True,5.0
158,0x000000000000000000000000dc44892fa6a2f7ea973f47dedf09cd1e6652b677,57,12,45,21.05263157894737,78.94736842105263,False,False,True,37.0
159,0x0000000000000000000000006549c53fb56be84cca142313045e167356c6ceae,54,11,43,20.37037037037037,79.62962962962963,False,False,True,20.0
160,0x000000000000000000000000296caf7d1a046032a1469aee8b7bcb8211bd48b2,20,5,15,25.0,75.0,False,False,True,15.0
161,0x00000000000000000000000098dea0457c6b1d843dba569f3f52ee642a9d8461,73,11,62,15.068493150684931,84.93150684931507,False,False,True,26.0
162,0x000000000000000000000000416ddba347125d2a7450a9c34eb64ca026bad671,21,6,15,28.571428571428573,71.42857142857143,False,False,True,12.0
163,0x000000000000000000000000c64893a427334540c392c45c297177e963f95352,29,9,20,31.03448275862069,68.96551724137932,False,False,True,18.0
164,0x000000000000000000000000631d5b86d332992e9ea216a5deade4ef3142c5b8,60,17,43,28.33333333333333,71.66666666666667,False,False,True,44.0
165,0x0000000000000000000000002f71814d25518e1a38897af11e687ff98db43d06,19,2,17,10.526315789473683,89.47368421052632,False,False,True,7.0
166,0x0000000000000000000000004d5d947981226778c9deeee8644c069c6cc4babc,22,4,18,18.181818181818183,81.81818181818181,False,False,True,10.0
167,0x00000000000000000000000029ea48f9df9f5647b7aedd8f2848767b94b5df21,24,4,20,16.666666666666668,83.33333333333333,False,False,True,17.0
